SiteID,SiteCode,SiteName,CT,ST,EPACode,Lat,Lon,Elev,Start,End
23620,010150001,309 East 8Th Street,US,AL,010150001,33.66,-85.82,237,01/01/93,10/08/98
14780,010331002,Muscle Shoals,US,AL,010331002,34.76,-87.64,122,01/01/93,12/01/98
23621,010491002,Ft.Payne (Closed),US,AL,010491002,34.46,-85.71,274,01/01/93,03/27/02
14799,010530002,Brewton (Closed 12/30/07),US,AL,010530002,31.11,-87.07,50,01/01/93,04/29/06
23622,010550008,Gadsden (#3),US,AL,010550008,34.02,-86.01,0,01/01/93,04/29/06
23622,010550008,Gadsden (#4),US,AL,010550008,34.02,-86.01,0,01/01/93,04/29/06
23623,010590001,North Alabama Hospital,US,AL,010590001,34.51,-87.72,234,01/01/93,12/01/98
14816,010690002,Dothan,US,AL,010690002,31.23,-85.38,102,01/01/93,08/31/04
23624,010712002,"Days Inn, E. Willow Street.",US,AL,010712002,34.68,-86.01,191,01/01/93,12/30/97
23625,010730002,"1500 1St Ave N., Bessemer, Al",US,AL,010730002,33.4,-86.96,168,01/01/93,08/29/09
12150,010730023,North Birmingham (#3),US,AL,010730023,33.55,-86.81,177,01/01/93,12/31/93
12150,010730023,North Birmingham (#4),US,AL,010730023,33.55,-86.81,177,02/19/13,12/31/15
12150,010730023,North Birmingham (#6),US,AL,010730023,33.55,-86.81,177,01/03/15,08/30/18
12150,010730023,North Birmingham (#7),US,AL,010730023,33.55,-86.81,177,01/06/15,08/30/18
23626,010730026,"Inglenook, Elem. Sch., 3937 44Th Ave. No",US,AL,010730026,33.57,-86.78,183,01/01/93,02/27/97
23627,010730034,"2301 11Th Ave North, Birmingham, Al.",US,AL,010730034,33.53,-86.81,185,01/01/93,10/24/12
23627,010730034,"2301 11Th Ave North, Birmingham, Al. (#2)",US,AL,010730034,33.53,-86.81,185,01/06/99,10/24/12
23628,010731003,Fairfield,US,AL,010731003,33.49,-86.92,180,01/04/13,03/13/15
12042,010731005,Mcadory,US,AL,010731005,33.33,-87,163,01/04/13,03/13/15
23629,010731008,3822 Williamson Drive,US,AL,010731008,33.45,-86.97,164,01/30/99,12/29/11
23630,010731010,Leeds,US,AL,010731010,33.55,-86.55,195,01/01/93,08/30/18
11690,010732003,Wylam,US,AL,010732003,33.5,-86.92,191,01/01/93,12/31/93
11690,010732003,Wylam (#2),US,AL,010732003,33.5,-86.92,191,01/01/13,12/22/15
11690,010732003,Wylam (#3),US,AL,010732003,33.5,-86.92,191,01/04/13,12/27/17
11690,010732003,Wylam (#4),US,AL,010732003,33.5,-86.92,191,01/04/13,12/27/17
23631,010736002,Tarrant Elementary School,US,AL,010736002,33.58,-86.77,173,01/04/13,12/26/16
23631,010736002,Tarrant Elementary School (#2),US,AL,010736002,33.58,-86.77,173,01/10/13,03/13/15
23631,010736002,Tarrant Elementary School (#3),US,AL,010736002,33.58,-86.77,173,01/02/13,12/31/15
23633,010736004,Sloss Shuttlesworth,US,AL,010736004,33.57,-86.8,179,01/01/13,12/31/15
23633,010736004,Sloss Shuttlesworth (#2),US,AL,010736004,33.57,-86.8,179,01/04/13,03/13/15
23634,010830001,Limestone County Health Dept.,US,AL,010830001,34.83,-86.98,217,05/27/96,12/01/98
23635,010890002,Fire Station #10,US,AL,010890002,34.79,-86.62,183,01/01/93,06/25/18
23636,010890003,Garage Daily,US,AL,010890003,34.73,-86.59,184,01/01/93,12/30/97
23636,010890003,Garage Daily (#2),US,AL,010890003,34.73,-86.59,184,04/01/93,12/31/12
23637,010890004,Fire Station #7,US,AL,010890004,34.62,-86.57,187,01/01/93,06/25/18
26523,010890006,Noaa Station (Jetport),US,AL,010890006,34.65,-86.77,197,01/01/93,12/27/93
15832,010890014,Huntsville Old Airport,US,AL,010890014,34.69,-86.59,183,01/01/93,06/25/18
15832,010890014,Huntsville Old Airport (#2),US,AL,010890014,34.69,-86.59,183,01/01/16,06/25/18
23638,010910003,Demopolis,US,AL,010910003,32.5,-87.83,46,01/01/93,04/29/06
15470,010970002,St. Thomas,US,AL,010970002,30.77,-88.08,13,01/01/93,09/11/02
23639,010970015,Uspo (Closed),US,AL,010970015,30.7,-88.05,11,01/01/93,03/27/02
23640,010970016,"Wkrg, Mobile (#3)",US,AL,010970016,30.72,-88.06,6,01/01/93,06/10/14
23640,010970016,"Wkrg, Mobile (#4)",US,AL,010970016,30.72,-88.06,6,01/01/93,06/10/14
23641,010970030,"Cc Williams, Mobile",US,AL,010970030,30.66,-88.04,15,07/20/96,12/30/05
23642,010970031,Usa (Closed),US,AL,010970031,30.7,-88.18,15,10/24/96,03/27/02
23643,010971002,"248 Cox Street, Mobile , Al.",US,AL,010971002,30.71,-88.07,15,01/01/93,10/18/96
15786,010972005,Bay Road,US,AL,010972005,30.47,-88.14,20,01/06/99,04/29/06
15795,011010007,Montgomery Rcc Closed And Relocated To Moms On ...,US,AL,011010007,32.43,-86.29,67,01/01/93,08/30/02
26566,011011001,"P.O. Box 114, Grady Ala. 36036 (#2)",US,AL,011011001,31.97,-86.13,433,01/01/93,10/16/93
11568,011011002,"Moms, Adem",US,AL,011011002,32.41,-86.26,76,09/16/93,08/30/18
11568,011011002,"Moms, Adem (#3)",US,AL,011011002,32.41,-86.26,76,01/10/13,08/30/18
23644,011030008,510 Cherry St. N.W.,US,AL,011030008,34.61,-86.98,189,01/01/93,09/26/98
11573,011030010,Decatur (Closed),US,AL,011030010,34.63,-87.05,183,01/06/99,08/05/01
11574,011030011,"Decatur, Alabama",US,AL,011030011,34.53,-86.97,174,08/11/01,08/30/02
23646,011090003,Troy Lead,US,AL,011090003,31.79,-85.98,161,01/01/93,04/29/06
11582,011130001,Phenix City,US,AL,011130001,32.47,-85.01,74,01/01/93,05/15/04
23647,011170003,Calera (Closed),US,AL,011170003,33.11,-86.75,165,01/20/94,12/10/94
23647,011170003,Calera (Closed) (#2),US,AL,011170003,33.11,-86.75,165,01/01/93,05/26/02
16149,011210002,Childersburg,US,AL,011210002,33.28,-86.35,142,01/01/93,04/29/06
23648,011211002,Talladega,US,AL,011211002,33.44,-86.1,152,01/01/93,04/29/06
11592,011250003,Tusc. (Closed),US,AL,011250003,33.22,-87.54,69,01/01/93,05/31/01
16508,011270002,Jasper,US,AL,011270002,33.83,-87.27,109,01/01/93,07/29/00
15900,020200018,Garden/Trinity Christian Church,US,AK,020200018,61.21,-149.82,39,07/05/99,12/30/13
15900,020200018,Garden/Trinity Christian Church (#3),US,AK,020200018,61.21,-149.82,39,01/01/13,12/31/15
23649,020200026,Gambell Rd/1820 Gambell,US,AK,020200026,61.2,-149.87,18,01/01/93,04/30/99
23650,020200040,"Caribou/18001 Baranof St, Eagle River",US,AK,020200040,61.31,-149.55,159,01/01/93,10/01/96
23651,020200042,Ocean View Elem/11911 Johns Rd,US,AK,020200042,61.11,-149.88,31,01/01/93,02/18/00
23652,020200043,Site At Intersection Of Muldoon And Debarr Road...,US,AK,020200043,61.21,-149.73,0,04/15/95,06/29/05
16305,020200044,On The Roof Of The Allstate Building,US,AK,020200044,61.18,-149.82,50,07/02/99,06/25/10
16305,020200044,On The Roof Of The Allstate Building (#2),US,AK,020200044,61.18,-149.82,50,10/04/06,01/28/12
16305,020200044,On The Roof Of The Allstate Building (#3),US,AK,020200044,61.18,-149.82,50,01/01/13,11/25/14
100790,020200045,On The Roof Of The Tudor Professional Building ...,US,AK,020200045,61.18,-149.83,50,06/02/15,12/31/15
23653,020201004,Parkgate/Eagle River,US,AK,020201004,61.33,-149.57,100,01/01/93,01/28/12
23653,020201004,Parkgate/Eagle River (#3),US,AK,020201004,61.33,-149.57,100,01/01/13,12/31/15
16326,020900010,State Office Building,US,AK,020900010,64.84,-147.72,132,01/01/93,06/29/00
23654,020900025,Hertz Bldg/Airport Wy & Stacia St (#2),US,AK,020900025,64.84,-147.72,134,01/01/93,12/28/97
97954,020900034,Ncore,US,AK,020900034,64.85,-147.73,132,11/11/12,06/28/18
97954,020900034,Ncore (#3),US,AK,020900034,64.85,-147.73,132,01/01/13,12/31/15
12136,021100004,Floyd Dryden Middle School,US,AK,021100004,58.39,-134.57,15,01/01/93,06/27/18
12136,021100004,Floyd Dryden Middle School (#2),US,AK,021100004,58.39,-134.57,15,01/14/10,06/27/18
26665,021100015,Lot #6 Pine Street-Lemon Creek,US,AK,021100015,58.36,-134.5,9,01/01/93,10/26/93
